rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230409
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230409
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230409
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230409
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230409
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230409
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230409
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230409
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230409
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230409
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230408
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230408
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230408
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230408
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230408
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230408
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230408
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230408
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230408
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230408
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230407
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230407
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230407
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230407
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230407
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230407
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230407
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230407
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230407
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230407
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230406
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230406
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230406
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230406
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230406
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230406
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230406
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230406
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230406
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230406
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230405
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230405
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230405
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230405
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230405
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230405
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230405
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230405
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230405
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230405
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230404
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230404
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230404
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230404
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230404
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230404
